,phenotype_id,marker_definition,parent_population,07042023,08042023,10042023,summation,run_id,feature_name,beta_0,beta_1,p_1,measurement_id,minimum,maximum,mean,std_dev,q1,q3,iqr,outliers_count,valids_count,nans_count,label,correlates
23,P2:21,25-38+39-73-127+DR-PD1-RO-,DNT,0,0,1,1,553d73cc719b48679948520a062c6739,P2:21,2.18884,-0.0239681,0.00699949,P2:21,0.231,43.1,6.904,6.08,2.49,9.935,7.445,11.0,363.0,61.0,P2:21,"['P2:13785' 'P2:13792' 'P2:13793' 'P2:13806' 'P2:13807' 'P2:13815'
 'P2:13816' 'P2:14014' 'P2:14015' 'P2:14023' 'P2:14024' 'P2:14041'
 'P2:14042' 'P2:14050' 'P2:14051' 'P2:14468' 'P2:14469' 'P2:14477'
 'P2:14478' 'P2:14495' 'P2:14496' 'P2:14504' 'P2:14505' 'P2:14711'
 'P2:14712' 'P2:14720' 'P2:14721' 'P2:14738' 'P2:14739' 'P2:14747'
 'P2:14748' 'P2:15862' 'P2:15863' 'P2:15871' 'P2:15872' 'P2:15889'
 'P2:15890' 'P2:15898' 'P2:15899' 'P2:16105' 'P2:16106' 'P2:16114'
 'P2:16115' 'P2:16132' 'P2:16133' 'P2:16141' 'P2:16142' 'P2:16591'
 'P2:16592' 'P2:16600' 'P2:16601' 'P2:16618' 'P2:16619' 'P2:16627'
 'P2:16628' 'P2:16834' 'P2:16835' 'P2:16843' 'P2:16844' 'P2:16861'
 'P2:16862' 'P2:16870' 'P2:16871']"
24,P5 gd:1727,27+RA+R5+R7-,Vg9+/Vd2Low,1,0,0,1,553d73cc719b48679948520a062c6739,P5 gd:1727,2.12314,-0.253339,0.00355291,P5 gd:1727,0.0,2.94,0.435,0.544,0.041,0.588,0.547,31.0,424.0,0.0,P5 gd:1727,['P5 gd:1726' 'P5 gd:1733']
25,P5 gd:524,8-,CD3 T/VD1,1,0,0,1,553d73cc719b48679948520a062c6739,P5 gd:524,1.53968,0.00665216,0.00684586,P5 gd:524,11.065,96.787,71.555,18.51,62.047,85.317,23.27,13.0,424.0,0.0,P5 gd:524,[]
26,P2:16111,25-73-127+PD1-,DNT,0,0,1,1,553d73cc719b48679948520a062c6739,P2:16111,2.59798,-0.014966,0.00103598,P2:16111,7.378,69.235,37.742,11.092,31.027,45.237,14.21,7.0,363.0,61.0,P2:16111,"['P2:15859' 'P2:15860' 'P2:15868' 'P2:15869' 'P2:16102' 'P2:16103'
 'P2:16112' 'P2:16588' 'P2:16597' 'P2:16831' 'P2:16840']"
27,P2:7234,25+39+DR+PD1+RO+,CD4,0,1,0,1,553d73cc719b48679948520a062c6739,P2:7234,1.83932,6.3091,0.00676425,P2:7234,0.0,0.163,0.028,0.021,0.013,0.035,0.022,21.0,424.0,0.0,P2:7234,['P2:5051' 'P2:5078' 'P2:5132' 'P2:5159' 'P2:7136' 'P2:7161' 'P2:7207']
28,P5 NKT:227,*,4+R5-,0,0,1,1,553d73cc719b48679948520a062c6739,P5 NKT:227,249.1,-2.47056,0.0232291,P5 NKT:227,99.85,100.1,99.998,0.044,100.0,100.0,0.0,131.0,384.0,40.0,P5 NKT:227,[]
29,P7 Mono:91,11c-16-32-64+123+141-274+DR-,Monocytes,0,1,0,1,553d73cc719b48679948520a062c6739,P7 Mono:91,2.06864,-8.18642,0.0106549,P7 Mono:91,0.0,0.089,0.006,0.014,0.0,0.006,0.006,47.0,424.0,0.0,P7 Mono:91,['P7 Mono:1848']
30,P4:5530,CD2+314-,56+16-,0,0,1,1,553d73cc719b48679948520a062c6739,P4:5530,1.81345,0.0127646,0.00270285,P4:5530,0.551,50.58,15.583,11.054,6.593,22.394,15.801,3.0,424.0,0.0,P4:5530,"['P4:4510' 'P4:4533' 'P4:4579' 'P4:4606' 'P4:4725' 'P4:4752' 'P4:4806'
 'P4:4833' 'P4:5179' 'P4:5206' 'P4:5260' 'P4:5287' 'P4:5422' 'P4:5449'
 'P4:5503']"
31,P5 gd:1625,27-R7-,Vg9+/Vd2Low,0,1,0,1,553d73cc719b48679948520a062c6739,P5 gd:1625,0.0622116,0.0239165,0.002109,P5 gd:1625,55.74,93.098,81.786,5.927,79.426,85.897,6.471,13.0,424.0,0.0,P5 gd:1625,[]
32,P1:20308,31+57+244-RA-,DPT,0,1,0,1,553d73cc719b48679948520a062c6739,P1:20308,2.08098,-0.28154,0.000854234,P1:20308,0.0,4.165,0.216,0.512,0.0,0.239,0.239,45.0,424.0,0.0,P1:20308,['P1:20389']
