,feature,importance_mean,importance_std
92,P2:22427,7.155635062610632e-05,3.5031158283512115e-05
93,P2:3362,7.074321027806252e-05,2.9998157010400456e-05
94,P7 Mono:2992,6.993006993009643e-05,2.1575051490341826e-05
95,P1:21775,6.911692958203042e-05,2.3355678348263533e-05
96,P2:12933,6.911692958203042e-05,3.2778735356551005e-05
97,P3:2522,6.830378923400326e-05,3.068460280389071e-05
98,P3:3782,6.830378923399217e-05,9.757684176292524e-06
99,P2:5017,6.667750853797116e-05,1.951536835258505e-05
100,P2:9085,6.667750853797116e-05,2.8121022061782774e-05
101,P1:20383,6.505122784190575e-05,1.9583012813114494e-05
102,P1:9511,6.505122784190575e-05,2.0571004457094677e-05
103,P1:4628,6.505122784189465e-05,0.0
104,P4:2480,6.423808749389526e-05,2.4515878080448438e-05
105,P3:1381,6.342494714587366e-05,2.5403316558496058e-05
106,P2:12163,6.261180679784651e-05,2.6981070130157637e-05
107,P2:20976,6.17986664498027e-05,2.157505149035103e-05
108,P7 Mono:4145,6.17986664498027e-05,9.757684176275872e-06
109,P1:7326,6.179866644979714e-05,1.7515579141767913e-05
110,MFI:316,6.0172385753770594e-05,9.757684176275872e-06
111,P3:3310,6.0172385753770594e-05,2.2475646383293672e-05
112,P3:7566,5.854610505780511e-05,1.95153683526017e-05
113,P2:23235,5.773296470970024e-05,1.8345282440503217e-05
114,P2:26066,5.7732964709683586e-05,2.312809018266173e-05
115,P7 Mono:5126,5.691982436173415e-05,0.0
116,P3:542,5.5293543665618784e-05,2.3510867287034806e-05
117,P1:21940,5.5293543665618784e-05,2.0826554683459676e-05
118,P1:1831,5.366726296957558e-05,2.6771959071632253e-05
119,P5 gd:1036,5.204098227354348e-05,1.9650424416297076e-05
120,P2:1462,5.204098227353793e-05,2.4448359698115687e-05
121,P7 Mono:393,5.204098227352127e-05,1.5934231535410446e-05
122,P1:6865,5.041470157750583e-05,2.5141689435262764e-05
123,P2:23641,4.9601561229445365e-05,1.6842019171570072e-05
124,P2:20889,4.8788420881473724e-05,1.6262806960465336e-05
125,P7 Mono:2095,4.878842088143487e-05,2.3845955925536813e-05
126,P1:8190,4.716214018539166e-05,2.0826554683454475e-05
127,P2:24466,4.716214018535836e-05,1.951536835258505e-05
128,P1:20035,4.553585948933181e-05,2.1575051490345176e-05
129,P1:25514,4.390957879330526e-05,2.0312239383303068e-05
130,P7 Mono:6209,4.3096438445267006e-05,1.9259585757566563e-05
131,P2:3433,4.2283298097234304e-05,2.082655468345881e-05
132,P7 Mono:4248,4.147015774920715e-05,1.2831138264814028e-05
133,P2:3265,4.06570174011911e-05,0.0
134,P1:5710,3.903073670515345e-05,1.9515368352562847e-05
135,P3:3913,3.903073670511459e-05,1.3010245568390032e-05
136,P2:484,3.740445600908804e-05,1.2169970358668476e-05
137,P4:6280,3.659131566107199e-05,1.2197105220357328e-05
138,P2:12001,3.6591315661044235e-05,9.791506406568773e-06
