,C,fit_intercept,l1_ratio,max_iter,n_jobs,penalty,solver,avg_neg_mae
39,0.15000000000000002,True,0.2,100,15,elasticnet,saga,-0.16811896400351184
40,0.15000000000000002,True,0.25,100,15,elasticnet,saga,-0.16811896400351184
41,0.15000000000000002,True,0.3,100,15,elasticnet,saga,-0.16811896400351184
42,0.15000000000000002,True,0.35000000000000003,100,15,elasticnet,saga,-0.16811896400351184
43,0.15000000000000002,True,0.4,100,15,elasticnet,saga,-0.16811896400351184
44,0.15000000000000002,True,0.45,100,15,elasticnet,saga,-0.16811896400351184
45,0.15000000000000002,True,0.5,100,15,elasticnet,saga,-0.16811896400351184
46,0.15000000000000002,True,0.55,100,15,elasticnet,saga,-0.16811896400351184
47,0.15000000000000002,True,0.6000000000000001,100,15,elasticnet,saga,-0.16811896400351184
48,0.15000000000000002,True,0.6500000000000001,100,15,elasticnet,saga,-0.16811896400351184
49,0.15000000000000002,True,0.7000000000000001,100,15,elasticnet,saga,-0.16811896400351184
50,0.15000000000000002,True,0.7500000000000001,100,15,elasticnet,saga,-0.16811896400351184
51,0.15000000000000002,True,0.8,100,15,elasticnet,saga,-0.16811896400351184
52,0.15000000000000002,True,0.8500000000000001,100,15,elasticnet,saga,-0.16811896400351184
53,0.15000000000000002,True,0.9000000000000001,100,15,elasticnet,saga,-0.16811896400351184
54,0.2,True,0.05,100,15,elasticnet,saga,-0.16592405618964
55,0.2,True,0.1,100,15,elasticnet,saga,-0.16591308165057067
56,0.2,True,0.15000000000000002,100,15,elasticnet,saga,-0.16811896400351184
57,0.2,True,0.2,100,15,elasticnet,saga,-0.16811896400351184
58,0.2,True,0.25,100,15,elasticnet,saga,-0.16811896400351184
59,0.2,True,0.3,100,15,elasticnet,saga,-0.16811896400351184
60,0.2,True,0.35000000000000003,100,15,elasticnet,saga,-0.16811896400351184
61,0.2,True,0.4,100,15,elasticnet,saga,-0.16811896400351184
62,0.2,True,0.45,100,15,elasticnet,saga,-0.16811896400351184
63,0.2,True,0.5,100,15,elasticnet,saga,-0.16811896400351184
64,0.2,True,0.55,100,15,elasticnet,saga,-0.16811896400351184
65,0.2,True,0.6000000000000001,100,15,elasticnet,saga,-0.16811896400351184
66,0.2,True,0.6500000000000001,100,15,elasticnet,saga,-0.16811896400351184
67,0.2,True,0.7000000000000001,100,15,elasticnet,saga,-0.16811896400351184
68,0.2,True,0.7500000000000001,100,15,elasticnet,saga,-0.16811896400351184
69,0.2,True,0.8,100,15,elasticnet,saga,-0.16811896400351184
70,0.2,True,0.8500000000000001,100,15,elasticnet,saga,-0.16811896400351184
71,0.2,True,0.9000000000000001,100,15,elasticnet,saga,-0.16811896400351184
72,0.25,True,0.05,100,15,elasticnet,saga,-0.17034679543459172
73,0.25,True,0.1,100,15,elasticnet,saga,-0.16739464442493415
74,0.25,True,0.15000000000000002,100,15,elasticnet,saga,-0.16664837576821773
75,0.25,True,0.2,100,15,elasticnet,saga,-0.16811896400351184
76,0.25,True,0.25,100,15,elasticnet,saga,-0.1688542581211589
77,0.25,True,0.3,100,15,elasticnet,saga,-0.16811896400351184
78,0.25,True,0.35000000000000003,100,15,elasticnet,saga,-0.16811896400351184
79,0.25,True,0.4,100,15,elasticnet,saga,-0.16811896400351184
80,0.25,True,0.45,100,15,elasticnet,saga,-0.16811896400351184
81,0.25,True,0.5,100,15,elasticnet,saga,-0.16811896400351184
82,0.25,True,0.55,100,15,elasticnet,saga,-0.16811896400351184
83,0.25,True,0.6000000000000001,100,15,elasticnet,saga,-0.16811896400351184
84,0.25,True,0.6500000000000001,100,15,elasticnet,saga,-0.16811896400351184
85,0.25,True,0.7000000000000001,100,15,elasticnet,saga,-0.16811896400351184
86,0.25,True,0.7500000000000001,100,15,elasticnet,saga,-0.16811896400351184
87,0.25,True,0.8,100,15,elasticnet,saga,-0.16811896400351184
88,0.25,True,0.8500000000000001,100,15,elasticnet,saga,-0.16811896400351184
89,0.25,True,0.9000000000000001,100,15,elasticnet,saga,-0.16811896400351184
90,0.3,True,0.05,100,15,elasticnet,saga,-0.1703577699736611
91,0.3,True,0.1,100,15,elasticnet,saga,-0.16592405618964004
92,0.3,True,0.15000000000000002,100,15,elasticnet,saga,-0.1688542581211589
93,0.3,True,0.2,100,15,elasticnet,saga,-0.16814091308165052
94,0.3,True,0.25,100,15,elasticnet,saga,-0.16811896400351184
95,0.3,True,0.3,100,15,elasticnet,saga,-0.1688542581211589
96,0.3,True,0.35000000000000003,100,15,elasticnet,saga,-0.16811896400351184
