,coef_weight_0,coef_weight_1,coef_weight_2,coef_weight_3,coef_weight_4,coef_weight_mean,label,abs(cwm)
15989,0.014494469586993195,0.0,0.0,0.0,0.0,0.002898893917398639,Lin:43,0.002898893917398639
1909,0.010089476581395227,0.0,0.0,0.0,0.004355793492915835,0.0028890540148622124,P5 gd:576,0.0028890540148622124
2160,-0.0017078631740725398,0.0,0.0,-0.0027145010574417825,-0.009990103411549059,-0.0028824935286126765,P5 gd:2045,0.0028824935286126765
4223,0.006684442076807528,0.0,0.0,0.0035436484169523662,0.004132054214175156,0.00287202894158701,P3:701,0.00287202894158701
15939,0.0,0.0,0.014352401774343573,0.0,0.0,0.0028704803548687146,MFI:144,0.0028704803548687146
6918,0.0022825921178400723,0.005474144107073896,0.0,0.0,0.006583442802097664,0.002868035805402326,P2:4607,0.002868035805402326
4175,-0.002468299948112058,-0.007278062858774616,-0.00458143738979367,0.0,0.0,-0.0028655600393360688,P3:73,0.0028655600393360688
256,0.013083064719901198,0.0,0.0,0.0011926619796031287,0.0,0.002855145339900865,P7 Mono:935,0.002855145339900865
8966,0.005571258948362927,0.000175963992365348,0.0,0.00852486430412784,0.0,0.0028544174489712228,P2:22797,0.0028544174489712228
2688,0.0,0.0,-0.014267657631276203,0.0,0.0,-0.0028535315262552406,P5 CD8:39,0.0028535315262552406
9329,0.0,0.0,-0.014226200273673724,0.0,0.0,-0.0028452400547347447,P2:21726,0.0028452400547347447
13312,0.003280475247301903,0.0,0.0,0.002478937519266375,0.008462550407547688,0.002844392634823193,P1:24338,0.002844392634823193
10732,0.013893276662987841,0.0,0.0003168048141889099,0.0,0.0,0.00284201629543535,P1:9910,0.00284201629543535
9895,0.0,-0.014204773510384409,0.0,0.0,0.0,-0.0028409547020768816,P2:20170,0.0028409547020768816
4072,0.0,-0.002665008441250342,0.0,-0.0014976198150334736,-0.009993623079060317,-0.0028312502670688267,P3:7729,0.0028312502670688267
15698,0.0,0.01414829979710704,0.0,0.0,0.0,0.0028296599594214078,MFI:460,0.0028296599594214078
3072,0.0029572639422077132,0.0034217160243577857,0.0,0.0077389660076438655,0.0,0.002823589194841873,P4:5529,0.002823589194841873
