,C,fit_intercept,l1_ratio,max_iter,n_jobs,penalty,solver,avg_neg_mae
84,0.25,True,0.6500000000000001,100,15,elasticnet,saga,-0.13273705004389819
85,0.25,True,0.7000000000000001,100,15,elasticnet,saga,-0.13273705004389819
86,0.25,True,0.7500000000000001,100,15,elasticnet,saga,-0.13273705004389819
87,0.25,True,0.8,100,15,elasticnet,saga,-0.13273705004389819
88,0.25,True,0.8500000000000001,100,15,elasticnet,saga,-0.13273705004389819
89,0.25,True,0.9000000000000001,100,15,elasticnet,saga,-0.13273705004389819
90,0.3,True,0.05,100,15,elasticnet,saga,-0.14161545215100962
91,0.3,True,0.1,100,15,elasticnet,saga,-0.1386742756804214
92,0.3,True,0.15000000000000002,100,15,elasticnet,saga,-0.13719271290605795
93,0.3,True,0.2,100,15,elasticnet,saga,-0.13496488147497804
94,0.3,True,0.25,100,15,elasticnet,saga,-0.1357001755926251
95,0.3,True,0.3,100,15,elasticnet,saga,-0.1357001755926251
96,0.3,True,0.35000000000000003,100,15,elasticnet,saga,-0.1357001755926251
97,0.3,True,0.4,100,15,elasticnet,saga,-0.13348331870061458
98,0.3,True,0.45,100,15,elasticnet,saga,-0.13273705004389819
99,0.3,True,0.5,100,15,elasticnet,saga,-0.13273705004389819
100,0.3,True,0.55,100,15,elasticnet,saga,-0.13273705004389819
101,0.3,True,0.6000000000000001,100,15,elasticnet,saga,-0.13273705004389819
102,0.3,True,0.6500000000000001,100,15,elasticnet,saga,-0.13273705004389819
103,0.3,True,0.7000000000000001,100,15,elasticnet,saga,-0.13273705004389819
104,0.3,True,0.7500000000000001,100,15,elasticnet,saga,-0.13273705004389819
105,0.3,True,0.8,100,15,elasticnet,saga,-0.13273705004389819
106,0.3,True,0.8500000000000001,100,15,elasticnet,saga,-0.13273705004389819
107,0.3,True,0.9000000000000001,100,15,elasticnet,saga,-0.13273705004389819
108,0.35000000000000003,True,0.05,100,15,elasticnet,saga,-0.14161545215100962
109,0.35000000000000003,True,0.1,100,15,elasticnet,saga,-0.1401448639157155
110,0.35000000000000003,True,0.15000000000000002,100,15,elasticnet,saga,-0.13793898156277434
111,0.35000000000000003,True,0.2,100,15,elasticnet,saga,-0.13719271290605795
112,0.35000000000000003,True,0.25,100,15,elasticnet,saga,-0.13496488147497804
113,0.35000000000000003,True,0.3,100,15,elasticnet,saga,-0.1357001755926251
114,0.35000000000000003,True,0.35000000000000003,100,15,elasticnet,saga,-0.1357001755926251
115,0.35000000000000003,True,0.4,100,15,elasticnet,saga,-0.1357001755926251
116,0.35000000000000003,True,0.45,100,15,elasticnet,saga,-0.13348331870061458
117,0.35000000000000003,True,0.5,100,15,elasticnet,saga,-0.13348331870061458
118,0.35000000000000003,True,0.55,100,15,elasticnet,saga,-0.13273705004389819
119,0.35000000000000003,True,0.6000000000000001,100,15,elasticnet,saga,-0.13273705004389819
120,0.35000000000000003,True,0.6500000000000001,100,15,elasticnet,saga,-0.13273705004389819
121,0.35000000000000003,True,0.7000000000000001,100,15,elasticnet,saga,-0.13273705004389819
122,0.35000000000000003,True,0.7500000000000001,100,15,elasticnet,saga,-0.13273705004389819
123,0.35000000000000003,True,0.8,100,15,elasticnet,saga,-0.13273705004389819
124,0.35000000000000003,True,0.8500000000000001,100,15,elasticnet,saga,-0.13273705004389819
125,0.35000000000000003,True,0.9000000000000001,100,15,elasticnet,saga,-0.13273705004389819
126,0.4,True,0.05,100,15,elasticnet,saga,-0.14308604038630374
127,0.4,True,0.1,100,15,elasticnet,saga,-0.14161545215100962
128,0.4,True,0.15000000000000002,100,15,elasticnet,saga,-0.1386742756804214
129,0.4,True,0.2,100,15,elasticnet,saga,-0.13719271290605795
130,0.4,True,0.25,100,15,elasticnet,saga,-0.13644644424934152
131,0.4,True,0.3,100,15,elasticnet,saga,-0.13496488147497804
132,0.4,True,0.35000000000000003,100,15,elasticnet,saga,-0.1357001755926251
133,0.4,True,0.4,100,15,elasticnet,saga,-0.1357001755926251
134,0.4,True,0.45,100,15,elasticnet,saga,-0.1357001755926251
135,0.4,True,0.5,100,15,elasticnet,saga,-0.1357001755926251
136,0.4,True,0.55,100,15,elasticnet,saga,-0.13348331870061458
137,0.4,True,0.6000000000000001,100,15,elasticnet,saga,-0.13273705004389819
138,0.4,True,0.6500000000000001,100,15,elasticnet,saga,-0.13273705004389819
139,0.4,True,0.7000000000000001,100,15,elasticnet,saga,-0.13273705004389819
140,0.4,True,0.7500000000000001,100,15,elasticnet,saga,-0.13273705004389819
141,0.4,True,0.8,100,15,elasticnet,saga,-0.13273705004389819
142,0.4,True,0.8500000000000001,100,15,elasticnet,saga,-0.13273705004389819
143,0.4,True,0.9000000000000001,100,15,elasticnet,saga,-0.13273705004389819
144,0.45,True,0.05,100,15,elasticnet,saga,-0.14308604038630374
145,0.45,True,0.1,100,15,elasticnet,saga,-0.14161545215100962
146,0.45,True,0.15000000000000002,100,15,elasticnet,saga,-0.13940956979806846
147,0.45,True,0.2,100,15,elasticnet,saga,-0.137928007023705
148,0.45,True,0.25,100,15,elasticnet,saga,-0.13719271290605795
149,0.45,True,0.3,100,15,elasticnet,saga,-0.13571115013169446
150,0.45,True,0.35000000000000003,100,15,elasticnet,saga,-0.13496488147497804
151,0.45,True,0.4,100,15,elasticnet,saga,-0.1357001755926251
152,0.45,True,0.45,100,15,elasticnet,saga,-0.1357001755926251
153,0.45,True,0.5,100,15,elasticnet,saga,-0.1357001755926251
154,0.45,True,0.55,100,15,elasticnet,saga,-0.1357001755926251
155,0.45,True,0.6000000000000001,100,15,elasticnet,saga,-0.13348331870061458
156,0.45,True,0.6500000000000001,100,15,elasticnet,saga,-0.13348331870061458
157,0.45,True,0.7000000000000001,100,15,elasticnet,saga,-0.13273705004389819
158,0.45,True,0.7500000000000001,100,15,elasticnet,saga,-0.13273705004389819
159,0.45,True,0.8,100,15,elasticnet,saga,-0.13273705004389819
160,0.45,True,0.8500000000000001,100,15,elasticnet,saga,-0.13273705004389819
161,0.45,True,0.9000000000000001,100,15,elasticnet,saga,-0.13273705004389819
162,0.5,True,0.05,100,15,elasticnet,saga,-0.14308604038630374
163,0.5,True,0.1,100,15,elasticnet,saga,-0.14161545215100962
164,0.5,True,0.15000000000000002,100,15,elasticnet,saga,-0.14161545215100962
165,0.5,True,0.2,100,15,elasticnet,saga,-0.13940956979806848
166,0.5,True,0.25,100,15,elasticnet,saga,-0.13719271290605795
167,0.5,True,0.3,100,15,elasticnet,saga,-0.13719271290605795
168,0.5,True,0.35000000000000003,100,15,elasticnet,saga,-0.13571115013169446
169,0.5,True,0.4,100,15,elasticnet,saga,-0.13496488147497804
170,0.5,True,0.45,100,15,elasticnet,saga,-0.1357001755926251
171,0.5,True,0.5,100,15,elasticnet,saga,-0.1357001755926251
172,0.5,True,0.55,100,15,elasticnet,saga,-0.1357001755926251
173,0.5,True,0.6000000000000001,100,15,elasticnet,saga,-0.1357001755926251
174,0.5,True,0.6500000000000001,100,15,elasticnet,saga,-0.13421861281826164
175,0.5,True,0.7000000000000001,100,15,elasticnet,saga,-0.13348331870061458
176,0.5,True,0.7500000000000001,100,15,elasticnet,saga,-0.13273705004389819
177,0.5,True,0.8,100,15,elasticnet,saga,-0.13273705004389819
178,0.5,True,0.8500000000000001,100,15,elasticnet,saga,-0.13273705004389819
179,0.5,True,0.9000000000000001,100,15,elasticnet,saga,-0.13273705004389819
180,0.55,True,0.05,100,15,elasticnet,saga,-0.14382133450395082
181,0.55,True,0.1,100,15,elasticnet,saga,-0.14161545215100962
182,0.55,True,0.15000000000000002,100,15,elasticnet,saga,-0.14161545215100962
183,0.55,True,0.2,100,15,elasticnet,saga,-0.13940956979806846
184,0.55,True,0.25,100,15,elasticnet,saga,-0.137928007023705
185,0.55,True,0.3,100,15,elasticnet,saga,-0.13719271290605795
186,0.55,True,0.35000000000000003,100,15,elasticnet,saga,-0.13644644424934152
187,0.55,True,0.4,100,15,elasticnet,saga,-0.13496488147497804
188,0.55,True,0.45,100,15,elasticnet,saga,-0.13496488147497804
189,0.55,True,0.5,100,15,elasticnet,saga,-0.1357001755926251
190,0.55,True,0.55,100,15,elasticnet,saga,-0.1357001755926251
191,0.55,True,0.6000000000000001,100,15,elasticnet,saga,-0.1357001755926251
192,0.55,True,0.6500000000000001,100,15,elasticnet,saga,-0.1357001755926251
193,0.55,True,0.7000000000000001,100,15,elasticnet,saga,-0.1357001755926251
194,0.55,True,0.7500000000000001,100,15,elasticnet,saga,-0.13348331870061458
195,0.55,True,0.8,100,15,elasticnet,saga,-0.13348331870061458
196,0.55,True,0.8500000000000001,100,15,elasticnet,saga,-0.13273705004389819
197,0.55,True,0.9000000000000001,100,15,elasticnet,saga,-0.13273705004389819
198,0.6000000000000001,True,0.05,100,15,elasticnet,saga,-0.14382133450395082
199,0.6000000000000001,True,0.1,100,15,elasticnet,saga,-0.14161545215100962
200,0.6000000000000001,True,0.15000000000000002,100,15,elasticnet,saga,-0.14161545215100962
201,0.6000000000000001,True,0.2,100,15,elasticnet,saga,-0.13940956979806846
202,0.6000000000000001,True,0.25,100,15,elasticnet,saga,-0.13940956979806848
203,0.6000000000000001,True,0.3,100,15,elasticnet,saga,-0.13793898156277434
204,0.6000000000000001,True,0.35000000000000003,100,15,elasticnet,saga,-0.13719271290605795
205,0.6000000000000001,True,0.4,100,15,elasticnet,saga,-0.13644644424934152
206,0.6000000000000001,True,0.45,100,15,elasticnet,saga,-0.13496488147497804
207,0.6000000000000001,True,0.5,100,15,elasticnet,saga,-0.13496488147497804
208,0.6000000000000001,True,0.55,100,15,elasticnet,saga,-0.1357001755926251
209,0.6000000000000001,True,0.6000000000000001,100,15,elasticnet,saga,-0.1357001755926251
210,0.6000000000000001,True,0.6500000000000001,100,15,elasticnet,saga,-0.1357001755926251
211,0.6000000000000001,True,0.7000000000000001,100,15,elasticnet,saga,-0.1357001755926251
212,0.6000000000000001,True,0.7500000000000001,100,15,elasticnet,saga,-0.1357001755926251
213,0.6000000000000001,True,0.8,100,15,elasticnet,saga,-0.13421861281826164
214,0.6000000000000001,True,0.8500000000000001,100,15,elasticnet,saga,-0.13348331870061458
215,0.6000000000000001,True,0.9000000000000001,100,15,elasticnet,saga,-0.13348331870061458
216,0.6500000000000001,True,0.05,100,15,elasticnet,saga,-0.14382133450395082
