,feature_name,nlog_p_0,nlog_p_1,nlog_p_2,nlog_p_3,nlog_p_4,nlog_p_5,Trait ID,Subset or Surface Protein,Full Subset Name,max_nlog_p
134,P4:4787,2.919334696145349,0.4796085956636347,8.45314295782035,6.510345103859479,0.0318749275196625,1.1884709384172991,P4:4787,314-334+337+158a-R7-,56+16-/314-334+337+158a-R7-,8.45314295782035
151,P4:4868,2.919334696145349,0.4796085956636347,8.45314295782035,6.510345103859479,0.0318749275196625,1.1884709384172991,P4:4868,314-334+337+R7-,56+16-/314-334+337+R7-,8.45314295782035
22,P1:20215,0.9993040118181252,0.1011519951528983,8.444073031051772,5.442443767518723,0.0924583496116605,0.1223971891648655,P1:20215,28-57+95-244-RA-,DPT/28-57+95-244-RA-,8.444073031051772
118,P4:4644,20.738309267652195,1.4019894221841152,8.436216270075908,6.907880210578826,0.2929127796470832,4.511618638092598,P4:4644,334+337+158b-R7-,56+16-/334+337+158b-R7-,8.436216270075908
176,P4:5248,19.95558013639429,1.2769253610189255,8.387776715031492,7.568823188668756,0.2877476172354005,4.557114712851747,P4:5248,CD2+314+334+337+158a-158b-,56+16-/CD2+314+334+337+158a-158b-,8.387776715031492
193,P4:5329,19.31858481237633,1.458606783801451,8.193079380991314,6.523299012707648,0.2821656883250099,4.318313628681636,P4:5329,CD2+314+334+337+158b-,56+16-/CD2+314+334+337+158b-,8.193079380991314
116,P4:4641,2.62080683692978,0.3494175458870678,8.0591354016663,6.164364767432652,0.0060714677277988,0.9899930335388396,P4:4641,314-334+337+158b-R7-,56+16-/314-334+337+158b-R7-,8.0591354016663
100,P4:4563,2.62080683692978,0.3494175458870678,8.0591354016663,6.164364767432652,0.0060714677277988,0.9899930335388396,P4:4563,314-334+337+158a-158b-R7-,56+16-/314-334+337+158a-158b-R7-,8.0591354016663
174,P4:5244,21.171960630894954,1.3836806732499962,8.007551804500057,7.339026713563107,0.2816464219091383,4.8654321841196415,P4:5244,334+337+158a-158b-,56+16-/334+337+158a-158b-,8.007551804500057
55,P2:21191,3.603404589209093,0.431264532179467,7.959050281006736,4.137809447312929,0.9527788875544564,0.5790100656152114,P2:21191,38-39+73-DR+RO-,DPT/38-39+73-DR+RO-,7.959050281006736
191,P4:5325,20.946001107825563,1.5431196058878194,7.941800048348099,6.675757522126274,0.2967678663073292,4.664504044638091,P4:5325,334+337+158b-,56+16-/334+337+158b-,7.941800048348099
253,P5 gd:353,17.816746550752928,0.1689964688117841,7.7376297853640335,5.460100248372378,0.0758829889567477,0.2018007001065199,P5 gd:353,27-28+RA-R5+R7-,CD3 T/VD1/27-28+RA-R5+R7-,7.7376297853640335
250,P5 gd:345,19.46799566349121,0.1582332881599661,7.715748238253853,5.042398436741529,0.0439548847286358,0.2803067436757548,P5 gd:345,27-RA-R5+R7-,CD3 T/VD1/27-RA-R5+R7-,7.715748238253853
136,P4:4790,24.71841630006534,0.6243806441065467,7.686547286983484,6.214244233607432,0.1034191196393682,4.92265777643436,P4:4790,334+337+158a-R7-,56+16-/334+337+158a-R7-,7.686547286983484
20,P1:20209,1.977314754955574,0.3163481500321603,7.638667196858162,4.217942796489252,0.0356153833638811,0.2124981842345183,P1:20209,31-57+95-244-RA-,DPT/31-57+95-244-RA-,7.638667196858162
52,P2:21112,1.7052881943226506,0.1077492745893057,7.599547463348794,3.464497231617272,0.0236041330600937,0.0490870887956612,P2:21112,25-39+73-127-DR+RO-,DPT/25-39+73-127-DR+RO-,7.599547463348794
