,labels,lr_coef,abs(lr_coef)
3171,P4:4597,0.47446658975125067,0.47446658975125067
361,P7 Mono:681,-0.4741424379086389,0.4741424379086389
2545,P5 gd:1167,0.4733739730980955,0.4733739730980955
3099,P4:5382,-0.4712050717903753,0.4712050717903753
1945,P5 gd:515,0.46831794961842327,0.46831794961842327
1942,P5 gd:521,0.466221333815241,0.466221333815241
11,P7:89,-0.46579133692813385,0.46579133692813385
9840,P2:20445,0.4648046381210979,0.4648046381210979
2224,P5 gd:1927,0.4646131866001593,0.4646131866001593
3070,P4:5531,-0.46421028573661455,0.46421028573661455
6417,P2:7712,-0.46401897966094596,0.46401897966094596
16004,Lin:29,0.4632920305275478,0.4632920305275478
1680,P5 gd:95,-0.46181025848661883,0.46181025848661883
1873,P5 gd:648,0.46176105120578587,0.46176105120578587
16017,Lin:17,-0.461686217209848,0.461686217209848
2269,P5 gd:183,0.4615694508363859,0.4615694508363859
640,P7 Mono:5705,0.4597567805776284,0.4597567805776284
2773,P4:77,-0.4597230748653474,0.4597230748653474
2298,P5 gd:177,-0.4590234107138035,0.4590234107138035
2331,P5 gd:165,0.45630983444387935,0.45630983444387935
15876,MFI:21,0.4558205898684117,0.4558205898684117
3508,P4:3392,0.45515683972766513,0.45515683972766513
2333,P5 gd:1648,-0.45474890203209234,0.45474890203209234
3101,P4:5379,-0.45462507264058083,0.45462507264058083
15730,MFI:414,0.45428586267350113,0.45428586267350113
10729,P1:9919,0.4540761111353896,0.4540761111353896
14868,P1:1451,0.45405289972982954,0.45405289972982954
213,P7:105,-0.45402268709623517,0.45402268709623517
13712,P1:2310,0.45228848260098853,0.45228848260098853
3120,P4:5290,0.4505746629738613,0.4505746629738613
11781,P1:6061,-0.4495312142039161,0.4495312142039161
2081,P5 gd:2176,0.4494510137140207,0.4494510137140207
2340,P5 gd:1621,-0.4480204929655044,0.4480204929655044
15596,MFI:587,0.4445125941308024,0.4445125941308024
13489,P1:2390,0.4444813647766585,0.4444813647766585
1432,P6:293,-0.4435010631985572,0.4435010631985572
3400,P4:3729,0.4424665975780034,0.4424665975780034
1368,P6:77,0.4424299699778266,0.4424299699778266
15434,P1:10321,-0.44164396212123364,0.44164396212123364
1960,P5 gd:481,-0.4411158267191384,0.4411158267191384
14885,P1:13611,-0.439488669716467,0.439488669716467
534,P7 Mono:6198,-0.4392564948897891,0.4392564948897891
1926,P5 gd:549,-0.43664042988810986,0.43664042988810986
8655,P2:235,0.43621230455604265,0.43621230455604265
16018,Lin:16,-0.43434747937857443,0.43434747937857443
11333,P1:792,0.43428040741489216,0.43428040741489216
1497,P6:165,-0.4341524407595594,0.4341524407595594
260,P7 Mono:930,0.43348124961682344,0.43348124961682344
11383,P1:773,0.4331342371332614,0.4331342371332614
1544,P6 earlyB:81,-0.43162792403248296,0.43162792403248296
3602,P3:984,0.4316217075728868,0.4316217075728868
3167,P4:4669,0.4313329005969222,0.4313329005969222
3244,P4:4335,-0.43061084109320136,0.43061084109320136
15792,MFI:291,0.4295054393265454,0.4295054393265454
5080,P3:3911,0.4291775081322438,0.4291775081322438
1363,P6:82,-0.4285947425118555,0.4285947425118555
2273,P5 gd:1823,0.42844501680416996,0.42844501680416996
2332,P5 gd:1649,-0.42836176580135654,0.42836176580135654
15526,MFI:681,-0.4270023831826643,0.4270023831826643
6541,P2:702,0.4249542677309164,0.4249542677309164
3465,P4:3544,-0.42457177153552655,0.42457177153552655
2645,P5 CD8:87,-0.4236582949136799,0.4236582949136799
1916,P5 gd:562,-0.4230501489020754,0.4230501489020754
9987,P2:154,-0.4228053441563623,0.4228053441563623
15971,MFI:103,0.42179677377291397,0.42179677377291397
